Merchant Name,Website Domain,Known Billing Email Domain (Estimate),Product / Subscription Name(s),Renewal Frequency,Region(s) Served / Domain Variants
Gusto,gusto.com,billing@gusto.com,"Gusto Payroll, HR Platform",Monthly,US
Rippling,rippling.com,billing@rippling.com,"Rippling HR Cloud, IT & Finance Cloud",Monthly,"US, Global"
Deel,deel.com,billing@deel.com,"Deel Global Payroll, EOR",Monthly,Global
Remote.com,remote.com,billing@remote.com,"Remote Payroll, Contractor Management",Monthly,Global
BambooHR,bamboohr.com,billing@bamboohr.com,"BambooHR Essentials, Advantage",Monthly,Global
Workable,workable.com,billing@workable.com,"Workable Hiring, Recruiting Software",Monthly,Global
Lever,lever.co,billing@lever.co,LeverTRM,Annual,Global
Greenhouse,greenhouse.io,billing@greenhouse.io,Greenhouse Recruiting,Annual,Global
Expensify,expensify.com,billing@expensify.com,"Expensify Collect, Control",Monthly,Global
Ramp,ramp.com,billing@ramp.com,Ramp Expense Management,Monthly,US
Brex,brex.com,billing@brex.com,"Brex Empower, Brex Travel",Monthly,US
Spendesk,spendesk.com,billing@spendesk.com,"Spendesk Pro, Premium",Monthly,EU
Pleo,pleo.io,billing@pleo.io,Pleo Business Plan,Monthly,"EU, UK"
Airbase,airbase.com,billing@airbase.com,Airbase Spend Management,Monthly,Global
Procurify,procurify.com,billing@procurify.com,Procurify Spend Platform,Annual,Global
Coupa,coupa.com,billing@coupa.com,Coupa Business Spend Mgmt,Annual,Global
SEMrush,semrush.com,billing@semrush.com,"SEMrush Pro, Guru, Business",Monthly / Annual,Global
Ahrefs,ahrefs.com,billing@ahrefs.com,"Ahrefs Webmaster, Standard, Advanced",Monthly,Global
Moz,moz.com,billing@moz.com,"Moz Pro, Local SEO",Monthly,Global
Hootsuite,hootsuite.com,billing@hootsuite.com,"Hootsuite Professional, Team",Monthly / Annual,Global
Buffer,buffer.com,billing@buffer.com,"Buffer Essentials, Teams",Monthly / Annual,Global
Later,later.com,billing@later.com,"Later Growth, Advanced",Monthly / Annual,Global
ActiveCampaign,activecampaign.com,billing@activecampaign.com,"ActiveCampaign Plus, Pro",Monthly / Annual,Global
MailerLite,mailerlite.com,billing@mailerlite.com,MailerLite Business Plans,Monthly / Annual,Global
Constant Contact,constantcontact.com,billing@constantcontact.com,"Constant Contact Email, Marketing Plus",Monthly / Annual,Global
1Password,1password.com,billing@1password.com,"1Password Business, Families",Monthly / Annual,Global
